Assessment Area,Modification,Description,Estimated Cost,Specification,YES,NO,N/A,Comments
Safety / Security,Garage Door Timer & Alerts,Sends alerts or closes garage after a certain time if left open.,$75–$200,,FALSE,FALSE,FALSE,
Smart Home Technology,Smart Upgrade,Description,Estimated Cost (Install + Subscriptions),,FALSE,FALSE,FALSE,
Smart Home Technology,Smart Video Doorbell,Visual/audio remote interaction with visitors.,Install: $200–$400 Subscription: $30–$150/year,,FALSE,FALSE,FALSE,
Smart Home Technology,"Voice-Controlled Assistant (e.g. Alexa, Google Home)","Voice commands for lights, reminders, and emergency help.",Device: $50–$250 Subscription: Free–$99/year,,FALSE,FALSE,FALSE,
Smart Home Technology,"Smart Thermostat (e.g. Nest, ecobee)","Programmable, learns user habits, remote control.",Device: $200–$400 Subscription: Free–$60/year,,FALSE,FALSE,FALSE,
Smart Home Technology,Smart Lighting (voice/motion activated),Enhances safety and convenience with automation.,Setup: $200–$800+ Subscription: None,,FALSE,FALSE,FALSE,
Smart Home Technology,Smart Plugs / Power Strips,Automate or remotely shut off appliances.,$25–$75 per unit Subscription: None,,FALSE,FALSE,FALSE,
Smart Home Technology,Medical Alert Smartwatch / Pendant,Wearable emergency button with fall detection.,Device: $100–$300 Subscription: $20–$50/month,,FALSE,FALSE,FALSE,
Smart Home Technology,Smart Locks / Keyless Entry,"PIN, fob, or phone app unlocks doors without keys.",Device: $150–$500 Subscription: Free–$10/month,,FALSE,FALSE,FALSE,
Smart Home Technology,Security System with Mobile Monitoring,Full-home monitoring and alerts for intrusion.,"Setup: $300–$1,500+ Subscription: $20–$60/month",,FALSE,FALSE,FALSE,
Smart Home Technology,Smart Smoke/CO Detectors,Sends emergency alerts to phones or caregivers.,Device: $100–$200 each Subscription: None,,FALSE,FALSE,FALSE,
Smart Home Technology,Remote-Control Blinds or Curtains,Motorized window coverings controlled by app or voice.,"$500–$2,000+ per room Subscription: None",,FALSE,FALSE,FALSE,
Smart Home Technology,Automated Medication Dispensers,Dispenses medications with alerts for missed doses.,Device: $150–$400 Subscription: $20–$50/month,,FALSE,FALSE,FALSE,
Smart Home Technology,Smart Appliance Notifications,Tracks usage and sends open-door or cycle-finish alerts.,Varies by appliance Subscription: Often free,,FALSE,FALSE,FALSE,
Smart Home Technology,Smart Home Hub,"Central control panel for managing all smart devices. ( Amazon Alexa, Google Assistant, or Apple's Siri)",Device: $100–$300 Subscription: Free–$10/month,,FALSE,FALSE,FALSE,
